Group|Parameter|Type|Value|Description
AccRec|RefPostDir|Char||Directory for posting list
AccRec|RefPostList|Char||File for posting list
AccRec|RefPrintDir|Char|/mnt/store/intrum/log|Directory for booking list
AccRec|RefPrintDirCust|Char|/mnt/store/xfergw/Siirtokansio8/out/|Booking list for customer
AccRec|RefPrintOk|Int|1|Print OK-lines of RF-booking
AccRec|ResDepositsAcc|Int|1600|Res.Dep.Account
AccRec|RevVatIncl|Int|1|Vat included in postings on rr
AccRec|RoundAcc|Int|68510|Rounding Account no
AccRec|UnPaidToDeposit|Int|68510|Limit for depositing unpaid
AccRec|UpfrontCOMPRevenueCC|Char|210000|Upfront paym COMPANY CostCentre
AccRec|UpfrontCOMPRevenueRID|Char|9410|Upfront RevenueID for COMP
AccRec|UpfrontCONSRevenueCC|Char|111600|Cost Centre for upfront paym CONSUMER
AccRec|UpfrontCONSRevenueRID|Char|9410|Consumer Upfront Revenue RepID
AccRec|UpfrontReportSpoolDir|Char|/apps/var/tmp/DWH_device_upfront_short_and_long_term_receivables_#ID_#DATE_#TIME.txt|Temp dir for Upfront Booking Report
AccRec|UpfrontReportTransferDir|Char|/mnt/store/xfergw/Siirtokansio2/out|Delivery folder for Upfront Report
ADL|AdditionalDataSMS|Char||SMS text for added data limit notification
ADL|AdditionalDataTMRule|Int|8|TMT rule used with automatic data limit add
API|ApiHowManyDecimal|Int|3|Rounding
API|ApiHowManyHidden|Int|3|HowManyLatest number are hide
API|APIServiceDest|Char|9|Service Dest(b-number not hidd
API|DefDepositprod|Char|DEPOFEE|Default Deposit Product Code
API|DefFixOverduedays|Int|16|Default Overdue days
API|DefFixUnpdaiLimit|Int|0|Fixed Unpaid Limit
API|DefMobOverduedays|Int|16|Default Mobile overdue days
API|DefMobUnpaidLimit|Int|51|Default Mobile Unpaid Limit
ArpuReport|ArpuRepDirectory|Char|/mnt/store/print/report|Default Arpureport directory
Billing|AdvPaymCust|Int|1010|Customer for advance payment
Billing|AdvPaymItem|Char|ADVPAYM|Product for adv.paym. invoices
Billing|AdvPaymPayTerm|Int|14|Payment term for adv.payment
Billing|AdvPaymTxtLEN|Char|AdvPaymAddt|Text for additional adv.paym
Billing|BillDblVat|Int|0|Allow different vat methods
Billing|BillInterest|Int|1|Bill collected interest events
Billing|BillRunStatFile|Char|/mnt/store/print/billrun/billrun_statistic_#IDATE_#TIME.txt|Billrun statistic file
Billing|CheckInvoicesFile|Char|/apps/dna/var/tmp/check_invoices_#DATE.txt|File name for log file
Billing|CheckInvoicesInvGroup|Char|INV1|Invoice groups to be checked
Billing|CheckInvoicesRecipient|Char|dnapro.billing@qvantel.com|Mail recipient for log file
Billing|CheckInvoicesTransDir|Char|/mnt/store/print/log/invoicecheck|Transfer dir for log file
Billing|CLossCustomer|Int|900|Credit loss customer
Billing|CreditEmail|Char||Credit Limit EmailAddress
Billing|CreditLimit:F|Int|1000|CreditLimitCompany
Billing|CreditLimit:P|Int|350|CreditLimitPrivate
Billing|CreditPaymTerm|Int|14|Credit Note Payment Term
Billing|DebtLossAcc|Int|690600|Bad debt loss account
Billing|DefaultPrintHouse|Char|Opuc Capita|Default printing house
Billing|DefCreditLimitCust|Int|333|Def Credit Limit customer
Billing|DefVatCode|Int|1|Default vat code
Billing|DepositCust|Int|1010|Deposit customer
Billing|DepositItem|Char|deposit|Product for deposit invoices
Billing|DepositPayTerm|Int|30|Payment term for deposit inv.
Billing|DiscPeriodMethod|Char|Days|Method for determining validity periods
BILLING|DiscProd|Char|DirDisc|Direct discount product
Billing|ExtInvIDPrefixLength|Int|3|Prefix length in ext.ID
Billing|InterestItem|Char|INTEREST|Billing item for interests
Billing|InvCCNColl|Int|0|Collect InvCCN from calls
Billing|InvCreType|Int|4|Invoice type to be created
Billing|InvCustCombine|Int|0|Combine fees into one invoice
Billing|InvRunLastProcessed|Int|184609|Processed on last monitor round
Billing|ODIBillDay|Int|3|ODI billrun weekday
Billing|ODIBillTime|Int|37800|ODI Billrun time (secs after midnigth)
Billing|ODIReqReportFile|Char|/apps/dna/var/tmp/ODIReq_error_report_#DATE.csv|ODI request error report file
Billing|ODIReqReportTransDir|Char|/mnt/store/print/report/|ODI request error report transdir
Billing|OTIntMargin|Char|/mnt/store/print/report/|Margin over reference rate
Billing|PrefixBillItem|Char||Prefix is marked to inv.row
Billing|PrintBoldFont|Char|\027(s3B,\027(s0B|Bold font
Billing|PrintDir|Char|/apps/tms/printouts|General print directory
Billing|PrintHouseZipPath|Char|/mnt/store/print/billrun/zipfilelist|Dir for filelists for zipping
Billing|PrintMediumFont|Char|\027(s12H,\027(s10H|12 Chr/inch
Billing|PrintSmallFont|Char|\027(s17H,\027(s10H|17 chr/inch
Billing|ProdNoBill|Char|REMFEE|No bill if this is only fee
Billing|RefNumForm|Int|5|Reference nbr format
Billing|RefNumPrefix|Int|0|Prefix to reference number
Billing|SaldoAgreementAccount|Char||FAT group for saldo agreement
Billing|ServiceNumDoneDir|Char|/mnt/store/dna_nmp/processed/|Service number processed dir
Billing|ServiceNumFile|Char|*_kaikki_maksunsaajatiedot.csv|Service Number file
Billing|ServiceNumInDir|Char|/mnt/store/dna_nmp/in/|Service Number reading dir
Billing|ServiceNumLog|Char|/apps/var/log/read_servicenum_batch_#DATE_#TIME.log|Service number reading log file
Billing|ServiceNumTempFiles|Char|/apps/var/tmp/ServiceNumFile.tmp|Service number temp files list
Billing|TotalUsageCounter|Int|2|Rule ID for total usage counter
Billing|UnknownCustomer|Int|999|Number Of Unknown customer
CM.Interface|CallAlarmLimit|Int|5000|CallAlarmLimit for single loop
CM.Interface|CM.Ack.Poll.New|Int|5000|Interval for polling new responses
CM.Interface|CM.Ack.Queue.Sleep|Int|5000|Sleep time in seconds
CM.Interface|CM.Queue.ip|Char|mqueue|
CM.Interface|CM.Queue.MsgLimit|Int|200|Max. messages/stomp session
CM.Interface|CM.Queue.Name|Char|rbs|
CM.Interface|CM.Queue.port|Int|61613|
CM.Interface|CM.Queue.SessionLimit|Int|300|Listener session restart limit param in seconds
CM.Interface|CM.Queue.timeout|Int|2|
CM.Interface|CM.SMSQueue.IP|Char|mqueue|SMS msg queue ip
CM.Interface|CM.SMSQueue.Name|Char|sms|SMS queue name
CM.Interface|CM.SMSQueue.port|Int|61613|SMS msg queue port
CM.Interface|CM.SMSQueue.timeout|Int|2|SMS Queue Timeout
CM.Interface|CM.ToQueue.ip|Char|mqueue|
CM.Interface|CM.ToQueue.Name|Char|rh|
CM.Interface|CM.ToQueue.port|Int|61613|
CM.Interface|CM.ToQueue.timeout|Int|2|
CM.Interface|CM.webservice.url|Char|http://172.20.34.69:80/CMServiceProvider/CMRBSInterface?wsdl|
CM.Interface|RbsToCm.ip|Char|mqueue|RBS to CM publishing i/f IP
CM.Interface|RbsToCm.Name|Char|cm|RBS to CM publishing queue
CM.Interface|RbsToCm.port|Int|61613|RBS to CM publishing i/f port
CM.Interface|RbsToCm.timeout|Int|1000|RBS to CM publishing timeout
CM.Interface|revolver.ip|Char|mqueue|MQ ip
CM.Interface|revolver.name|Char|revolver|Revolver PDF Queue
CM.Interface|revolver.port|Int|61613|
CM.Interface|revolver.timeout|Int|100|
CM.Interface|UTF8_to_Scandics|Char|\u0142,\u2013,\u011d|l,-,g|DO NOT UPDATE THIS !!!
Commission|CommCalcLogFile|Char|/apps/dna/var/tmp/commission_calculation_#DATE_#TIME.txt|Log file for commission calculation
Commission|CommCalcLogTrans|Char|/mnt/store/print/log/commission|Transfer dir for commission log
Commission|CommCheckSuspension|Char|DebtSuspension|Service for suspension
Commission|CommCompAddress|Char|PL 10|Company address for commission invoices
Commission|CommCompCity|Char|01044 DNA|Company city for commission invoice
Commission|CommCompEMail|Char|palkkiot@dna.fi|Company email for commission invoice
Commission|CommCompPhone|Char|044 0440|Company phone for commission invoice
Commission|RevenueCommLogFile|Char|/apps/var/tmp/REVENUE_COMMISSION_REPORT_#PERIOD_#DATE_#TIME.txt|Revenue based commission log file
Commission|RevenueCommLogTrans|Char|/mnt/store/xfergw/Siirtokansio6/out/|Revenue based commission log trans dir
Commission|RevenueValidBIGs|Char|BIG1,BIG3,BIG4,BIG5,BIG6,BIG8,BIG11,BIG16,BIG30,BIG31,BIG32|Valid BIGs for Revenue based commission
Contact|B2BContactEmail|Char|yritysasiakaspalvelu@dna.fi|B2B contact email
Contact|B2BContactPhone|Char|044 144 099|B2B contact phone nbr
Credit|CustCredLimitExternalGrp|Char|CreditExtG|Default Credit Limit ExtCust g
Credit|OwnUseCreditPaym|Int|11|Payment type for own usage creditings
CreditNote|CreditNoteActTime|Int|11|Activation time for requests
Cron|CronTmpDir|Char||Temporary files for cronjobs
Cron|DefEmailPath|Char||Default mdaily email path
CRONOUTGOING|highspendnew.p|Char|/mnt/store/print/report|DIRECTORY
CRONSPOOL|highspendnew.p|Char|/mnt/store/print/report|DIRECTORY
CustCare|DefCustB2B1|Int|310|Default customer for B2B1
CustCare|DefCustB2B2|Int|310|Default customer for B2B2
CustCare|DefCustB2B3|Int|310|Default customer for B2B3
CustCare|DefCustB2B4|Int|310|Default customer for B2B4
CustCare|DefCustINV1|Int|300|Default customer
CustCare|DefCustOWNB2B|Int|310|Default customer for OWNB2B
CustCare|DefCustSALES|Int|400|Default customer for sales
CustCare|DefCustUNKNOWN|Int|304|Default customer
CustNumbers|Mobile|Char|10001-999999|Customer Number Series
DebtCollect|AdvPaymIntrumLedgerNo|Char|111111|Intrum's ledger no for adv payment
DebtCollect|BarrSuspDaysLimit|Int|34|Max no of days for barr/susp
DebtCollect|ClaimCostAcc|Int|3800|Account for claiming costs
DebtCollect|ClaimRestrainOnHold|Int|7|Days that restrain is on hold
DebtCollect|DebtBarrData|Char|DebtBarrData|Service for data barring
DebtCollect|DebtBarrVoice|Char|DebtBarrVoice|Service for voice barring
DebtCollect|DebtCollectBatchMode|Char|Update|Mode for batch run List/Update
DebtCollect|DebtCollectLog|Char|/mnt/store/debtcollect/log/debtcollect_#DATE_#TIME.txt|Log file name
DebtCollect|DebtCollectLogTemp|Char|/apps/var/tmp/temp_debtcollect_#DATE_#TIME_#INVGRP.txt|Temporary logs from parallelized debtcollection
DebtCollect|DebtCollectTransDir|Char|/mnt/store/xfergw/Siirtokansio9/out|Transfer dir for log file
DebtCollect|DebtSuspensionService|Char|DebtSuspension|Suspension service ID
DebtCollect|DebtSuspOpenFeeModel|Char|AUTDEBTBARRTERM|Fee model for opening subscr.
DebtCollect|DebtTermMailArc|Char|/mnt/store/debtcollect/termination|Archive dir for term. mails
DebtCollect|DebtTermMailFile|Char|/apps/dna/var/tmp/debtterm_#LANGUAGE.txt|File for mail text
DebtCollect|DebtTermMailSender|Char|noreply@dnapro.fi|Sender marked to term. mail
DebtCollect|DebtTermMailText|Char|DebtTermination|Text ID for termination mail
DebtCollect|IntrumCustNbr|Int|4278|Intrum's customer nbr for us
DebtCollect|IntrumFileSeqNbr|Int|0|Claim File's Sequence Number
DebtCollect|IntrumHubNo|Char|200866|Intrum's Hub number
DebtCollect|IntrumLedgerNo|Char|427801|Intrum ledger nbr for normal invoices
DebtCollect|IntrumPPLedgerNo|Char|427802|Intrum ledger nbr for part payment invoices
DebtCollect|IntrumRemFee|Char|427802|Intrum reminder fee
DebtCollect|IntrumStatusArc|Char|/mnt/store/rbs/intrum/in/processed|Archive for status file
DebtCollect|IntrumStatusFile|Char|/mnt/store/rbs/intrum/in/in/status*|Status file from Intrum
DebtCollect|IntrumStatusLog|Char|/apps/dna/var/tmp/INTRUM_STATUS_#DATE_#TIME.txt|Log file from status reading
DebtCollect|IntrumStatusLogArc|Char|/mnt/store/intrum/log|Archive for log file
DebtCollect|MailSentBeforeTerm|Int|15|Termination letter delivery days before actual term
DebtCollect|PPDebtTermMailFile|Char|/apps/dna/var/tmp/ppdebtterm_#LANGUAGE.txt|File name for PP termination message
DebtCollect|PPDebtTermMailText|Char|PPTermination|Termination mail text for part payment
DebtCollect|PPDueDaysBeforeMail|Int|34|Days passed from due day before termination mail is sent
DebtCollect|PPMailSentBeforeTerm|Int|15|Days from termination mail before termination
DebtCollect|PPMinDueDays|Int|17|Min PP invoice due days
DebtCollect|PPUnpaidMinPortion|Int|17|Min portion % of unpaid debt
DebtCollect|ServiceDebtLimit|Int|17|Min limit for service debt
DebtCollect|ServiceDebtType|Char|SER|Service debt types
DebtCollect|SMSRem1LateDays|Int|7|Days from due date
DebtCollect|SMSRem1MinDue|Int|7|Min amount for 1. reminder
DebtCollect|SMSRem2LateDays|Int|22|Days from due date
DebtCollect|SMSRem2MinDue|Int|22|Min amount for 2. reminder
DebtCollect|SMSRem3LateDays|Int|31|Days from due date
DebtCollect|SMSRem3MinDue|Int|31|Min. amount for 3. reminder
DebtCollect|SuspendedBeforeMail|Int|20|Suspended days before mail
DebtCollect|SuspendedBeforeTerm|Int|30|Suspended days before termin.
DebtCollect|TeleDebtLimit|Int|30|Min limit for tele debt
DebtCollect|TeleDebtType|Char|TEL|Debt types for tele debt
DEBUG|class_cdrhandler.cls|Char|#4GLMessages,4GLTrace:4,4GLTrans,DB.Connects:4,QryInfo:4|Use LOG-MANAGER in InvRun
DEBUG|tcpgwy.p|Char|0|Are logfiles active?
Device|Available|Int|1|Device Status
Device|Not Available|Int|0|Device Status
DeviceTerm|cancel_returned|Char|17|Device order cancellation
DeviceTerm|debt_retain|Char|4|Debt termination
DeviceTerm|expuser_returned|Char|25|Experiment period cancel, deact. device
DeviceTerm|om_retain|Char|28|Device contract termination by OM
DeviceTerm|operator_retain|Char|21|Device contract term by CSP, apply charges
DeviceTerm|operator_returned|Char|20|Device contract term by CSP, deact charges
DeviceTerm|paid_retain|Char|23|Paid in advance
DeviceTerm|salesperson_returned|Char|26|SalesPerson cancelled device contract, deact. device
DeviceTerm|user_retain|Char|18|Accelerated termination of device contract
DeviceTerm|user_returned|Char|19|Device return based on agreement with CSP
DirDebit|DDArchive|Char||Archive directory for DD files
DirDebit|DDebitAuthFile|Char||Direct debit authorizat. file
DirDebit|DDebitBankAccount|Char||Direct debits to bank account
DirDebit|DDebitBankGroupCode|Char||Direct debit bank group code
DirDebit|DDebitBatchFile|Char||File for batch runs
DirDebit|DDebitErrorFile|Char||Error log file
DirDebit|DDebitFileName|Char||Direct debit file name
DirDebit|DDebitResponse|Char||Response file name
DirDebit|DDebitServiceCode|Char||Direct debit service code
DirDebit|DDInErrorFile|Char||File for error log
DirDebit|DDPaymSubj|Int|0|Payment Subject for DD
DirDebit|DDTransDir|Char||Transfer directory for files
Discount|PaperInvCamp|Char|CAMPRINTINVPERC|Special discount for printing
Discount|Payercampaigns|Char|CAMPRINTINVPERC|Disc plans for migration
DNATest|LogDirReadWebServiceXMLs|Char|CAMPRINTINVPERC|
Dump|DeviceDebtFile|Char|/apps/dna/var/tmp/device_debt_#DATE.txt|File name for device debts
Dump|DeviceDebtTransDir|Char|/mnt/store/device/out|Transfer dir for device debts
Dump|InvEventMonthFileName|Char|/apps/dna/var/tmp/dump_invoices_#DATE.csv|File for event month dump
Dump|InvEventMonthTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for eventm. dump
DUMPOUTGOING|callscannerrep.p|Char||DIRECTORY
DUMPOUTGOING|killerrcalls.p|Char||DIRECTORY
DUMPOUTGOING|memodump.p|Char||DIRECTORY
DUMPOUTGOING|stclog.p|Char||DIRECTORY
DUMPSPOOL|callscannerrep.p|Char||DIRECTORY
DUMPSPOOL|memodump.p|Char||DIRECTORY
DUMPSPOOL|stclog.p|Char||DIRECTORY
EBill|eGiftPayment|Char|EGIFT|eGiftPayment FAT group
EBill|EPaymValid|Int|7|Valid days for ePayment
EInvoice|EInvoiceAuthArcDir|Char|/mnt/store/rbs/invoices/ri_processed|Archive dir for authorizations
EInvoice|EInvoiceAuthFile|Char|/mnt/store/rbs/invoices/ri_messages/DNA*.xml|Authorization file name
EInvoice|EInvoiceAuthLogFile|Char|/apps/dna/var/tmp/auth_log_#DATE_#SEQ.txt|Authorization error log file
EInvoice|EInvoiceAuthLogTrans|Char|/mnt/store/xfergw/Siirtokansio3/out|Transfer dir for authorization error log
EInvoice|EInvoiceReportFileName|Char|/apps/var/tmp/auth_handling_#DATE.txt|EInvoice activations report file
EInvoice|EInvoiceReportTransDir|Char|/mnt/store/xfergw/Siirtokansio9/out/|EInvoice activations report delivery folder
EInvoice|EInvoiceSentToMQLog|Char|/apps/var/log/einvoice_update_to_mq.log|EInvoice update sent to MQ log
eMail|ITMailErrDir|Char|/apps/tms/mail/|Directory for error files
FileSeq|eInvoiceLog|Int|1810|Daily sequence for eInvoice log file
FileSequence|IntrumUpdateSeq|Date|21/09/11|Intrum update file sequence
FileSequence|IntrumXMLSeq|Date|20/09/11|Intrum XML File Sequence
FOM.Interface|RbsToFOM.IP|Char|mqueue|RBS to FOM publishing IP
FOM.Interface|RbsToFOM.Name|Char|test.q.FOMSouthboundRBSDNAB2B.RBS.adapter.Request|RBS to FOM publishing queue
FOM.Interface|RbsToFOM.Port|Int|61613|RBS to FOM publishing port
FOM.Interface|RbsToFOM.Timeout|Int|1000|RBS to FOM publishing timeout
Fonecta|FonectaDir|Char|/mnt/store/rbs/directory/out|Transfer directory
Fonecta|FonectaFile|Char|/apps/dna/var/tmp/DNA_FONECTA_#NBR.TXT|Transfer file name (changes)
Fonecta|FonectaFullFile|Char|/apps/dna/var/tmp/DNA_FONECTA.TXT|Transfer file name (all data)
Fonecta|FonectaReportBase|Char|/mnt/store/rbs/directory/reportbase|Archive for sent files
Fonecta|FonectaSent|Date|15/02/17|Date when last sent
Fonecta|FonectaSeq|Int|7|File number sequence
Fonecta|SelectionTS|Char|05:00:00|Report should include mobsubs created on previous day before mentioned time
FuncRun|FRCallItemReceiver|Char|User|FuncRun call item target cust
FuncRun|FRDaemonInterval|Int|60|Interval (sec) for funcrun dae
FuncRun|FRTestRunDir|Char|/mnt/store/print/testrun|Dir for test run files
GL|AccountingExtSource|Char|GL|External source id
GL|BilledRevenueFileName|Char|/apps/dna/var/tmp/dnapro_billed_revenue_#DATE.dat|File name for billed revenue
GL|BilledRevenueTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for billed revenu
GL|UnbilledRevenueFileName|Char|/apps/dna/var/tmp/dnapro_unbilled_revenue_#DATE.dat|File name for unbilled revenue
GL|UnbilledRevenueTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Transfer dir for unbilled reve
GL|VirtUnbRevExcelTransDir|Char|/mnt/store/test/ubr|Trans dir for new unbilled revenue Excel ver
GL|VirtUnbRevFileName|Char|/apps/dna/var/tmp/dnapro_unbilled_revenue_virt_#DATE.dat|Filename for new unbilled revenue
GL|VirtUnbRevTransDir|Char|/mnt/store/xfergw/Siirtokansio2/gledger|Trans dir for new unbilled revenue
HighSpender|HighSpenderDirectory|Char|/mnt/store/print/report|Default highspender directory
HPD.Interface|HPD.Dump.LogFile|Char|/apps/var/log/Hpd.DumpToMQ.log|RBS to Cassandra dump log file
HPD.Interface|HPD.Queue.IP|Char|hpd-mqueue|RBS to Cassandra publishing i/f IP
HPD.Interface|HPD.Queue.Name|Char|rbs-bssapi|RBS to Cassandra publishing queue
HPD.Interface|HPD.Queue.Port|Int|61613|RBS to Cassandra publishing i/f port
HPD.Interface|HPD.Queue.SessionLimit|Int|1200|HPD publisher session limit
HPD.Interface|HPD.Queue.TimeOut|Int|2|RBS to Cassandra publishing timeout
HPD.Interface|HPD.Queue.TransSize|Int|10000|Transaction size of each query
IIR|CounterCheckID|Int|11|ID FuncRun counter check
IIR|IRCounterProcDir|Char|/mnt/store/print/log/countercheck/processing/|IRCounter runtime file dir
IIR|IRCounterTransDir|Char|/mnt/store/print/log/countercheck/|Unbilled counters transdir
IIR|OldUnbilledEventLimit|Int|13|How many months backward
IIR|RejectedIRCounters|Char|/mnt/store/print/report/rejected_iir_invoices_#DATE.log|File for rejected IR invoices
IIR|RerateALLDays|Char|3|Days from month end to rerate
IIR|ReRateCheckFrom|Int|3|Days from month end
Interest|CollStatesNoInterest|Char|I|Interest is not calculated when invoice is in these statuses
Invoice|BillingInfoFile|Char|/mnt/store/billingdata/spool/billinginfo_#TODAY_#NOW.csv|Output for billinginfo for CM
Invoice|ClaimCharge|Char|/mnt/store/billingdata/spool/billinginfo_#TODAY_#NOW.csv|Claiming charge
Invoice|DefCurrency|Char|EUR|DefaultCurrency
Invoice|DefVATCode|Int|1|Default VAT code
Invoice|IntrumUpdateFile|Char|/apps/dna/var/tmp/updates.#DATE#TIME|Intrum update file name
Invoice|IntrumXMLDir|Char|/mnt/store/rbs/intrum/out/out|Intrum XML Directory
Invoice|IntrumXMLFileName|Char|/apps/dna/var/tmp/xinvoices.#DATE#TIME|Intrum XML File Name
Invoice|IntrumXMLLog|Char|/apps/dna/var/tmp/INVXML_#DATE.log|XML LOG FILE
Invoice|IntrumXMLLogTrans|Char|/mnt/store/intrum/log|XML LOG TRANSFER DIR
Invoice|IntrumXMLMaxQty|Int|10000|Max quantity of invoices per file
Invoice|InvCustExtSource|Char|CM|Source for customer ext.ID
Invoice|InvRangeRepExclGroups1|Char|SALES|Comma separated list of excluded invgroups
Invoice|InvRangeRepExclGroups2|Char|SALES|Comma separated list of excluded invgroups
Invoice|InvRangeReportDetailFile|Char|/apps/var/tmp/InvRange_#ID_#DATE_#TIME_Detail_#TYPE.csv|path and filename for detail file
