Group|Parameter|Description|Type|Value
AccRec|RefPostDir|Directory for posting list|Char|
AccRec|RefPostList|File for posting list|Char|
AccRec|RefPrintDir|Directory for booking list|Char|/mnt/store/intrum/log
AccRec|RefPrintDirCust|Booking list for customer|Char|/mnt/store/xfergw/Siirtokansio8/out/
AccRec|RefPrintOk|Print OK-lines of RF-booking|Int|1
AccRec|ResDepositsAcc|Res.Dep.Account|Int|1600
AccRec|RevVatIncl|Vat included in postings on rr|Int|1
AccRec|RoundAcc|Rounding Account no|Int|68510
AccRec|UnPaidToDeposit|Limit for depositing unpaid|Int|68510
AccRec|UpfrontCOMPRevenueCC|Upfront paym COMPANY CostCentre|Char|210000
AccRec|UpfrontCOMPRevenueRID|Upfront RevenueID for COMP|Char|9410
AccRec|UpfrontCONSRevenueCC|Cost Centre for upfront paym CONSUMER|Char|111600
AccRec|UpfrontCONSRevenueRID|Consumer Upfront Revenue RepID|Char|9410
AccRec|UpfrontReportSpoolDir|Temp dir for Upfront Booking Report|Char|/apps/var/tmp/DWH_device_upfront_short_and_long_term_receivables_#ID_#DATE_#TIME.txt
AccRec|UpfrontReportTransferDir|Delivery folder for Upfront Report|Char|/mnt/store/xfergw/Siirtokansio2/out
ADL|AdditionalDataSMS|SMS text for added data limit notification|Char|
ADL|AdditionalDataTMRule|TMT rule used with automatic data limit add|Int|8
API|ApiHowManyDecimal|Rounding|Int|3
API|ApiHowManyHidden|HowManyLatest number are hide|Int|3
API|APIServiceDest|Service Dest(b-number not hidd|Char|9
API|DefDepositprod|Default Deposit Product Code|Char|DEPOFEE
API|DefFixOverduedays|Default Overdue days|Int|16
API|DefFixUnpdaiLimit|Fixed Unpaid Limit|Int|0
API|DefMobOverduedays|Default Mobile overdue days|Int|16
API|DefMobUnpaidLimit|Default Mobile Unpaid Limit|Int|51
ArpuReport|ArpuRepDirectory|Default Arpureport directory|Char|/mnt/store/print/report
Billing|AdvPaymCust|Customer for advance payment|Int|1010
Billing|AdvPaymItem|Product for adv.paym. invoices|Char|ADVPAYM
Billing|AdvPaymPayTerm|Payment term for adv.payment|Int|14
Billing|AdvPaymTxtLEN|Text for additional adv.paym|Char|AdvPaymAddt
Billing|BillDblVat|Allow different vat methods|Int|0
Billing|BillInterest|Bill collected interest events|Int|1
Billing|BillRunStatFile|Billrun statistic file|Char|/mnt/store/print/billrun/billrun_statistic_#IDATE_#TIME.txt
Billing|CheckInvoicesFile|File name for log file|Char|/apps/dna/var/tmp/check_invoices_#DATE.txt
Billing|CheckInvoicesInvGroup|Invoice groups to be checked|Char|INV1
Billing|CheckInvoicesRecipient|Mail recipient for log file|Char|dnapro.billing@qvantel.com
Billing|CheckInvoicesTransDir|Transfer dir for log file|Char|/mnt/store/print/log/invoicecheck
Billing|CLossCustomer|Credit loss customer|Int|900
Billing|CreditEmail|Credit Limit EmailAddress|Char|
Billing|CreditLimit:F|CreditLimitCompany|Int|1000
Billing|CreditLimit:P|CreditLimitPrivate|Int|350
Billing|CreditPaymTerm|Credit Note Payment Term|Int|14
Billing|DebtLossAcc|Bad debt loss account|Int|690600
Billing|DefaultPrintHouse|Default printing house|Char|Opuc Capita
Billing|DefCreditLimitCust|Def Credit Limit customer|Int|333
Billing|DefVatCode|Default vat code|Int|1
Billing|DepositCust|Deposit customer|Int|1010
Billing|DepositItem|Product for deposit invoices|Char|deposit
Billing|DepositPayTerm|Payment term for deposit inv.|Int|30
Billing|DiscPeriodMethod|Method for determining validity periods|Char|Days
BILLING|DiscProd|Direct discount product|Char|DirDisc
Billing|ExtInvIDPrefixLength|Prefix length in ext.ID|Int|3
Billing|InterestItem|Billing item for interests|Char|INTEREST
Billing|InvCCNColl|Collect InvCCN from calls|Int|0
Billing|InvCreType|Invoice type to be created|Int|4
Billing|InvCustCombine|Combine fees into one invoice|Int|0
Billing|InvRunLastProcessed|Processed on last monitor round|Int|184609
Billing|ODIBillDay|ODI billrun weekday|Int|3
Billing|ODIBillTime|ODI Billrun time (secs after midnigth)|Int|37800
Billing|ODIReqReportFile|ODI request error report file|Char|/apps/dna/var/tmp/ODIReq_error_report_#DATE.csv
Billing|ODIReqReportTransDir|ODI request error report transdir|Char|/mnt/store/print/report/
Billing|OTIntMargin|Margin over reference rate|Char|/mnt/store/print/report/
Billing|PrefixBillItem|Prefix is marked to inv.row|Char|
Billing|PrintBoldFont|Bold font|Char|\027(s3B,\027(s0B
Billing|PrintDir|General print directory|Char|/apps/tms/printouts
Billing|PrintHouseZipPath|Dir for filelists for zipping|Char|/mnt/store/print/billrun/zipfilelist
Billing|PrintMediumFont|12 Chr/inch|Char|\027(s12H,\027(s10H
Billing|PrintSmallFont|17 chr/inch|Char|\027(s17H,\027(s10H
Billing|ProdNoBill|No bill if this is only fee|Char|REMFEE
Billing|RefNumForm|Reference nbr format|Int|5
Billing|RefNumPrefix|Prefix to reference number|Int|0
Billing|SaldoAgreementAccount|FAT group for saldo agreement|Char|
Billing|ServiceNumDoneDir|Service number processed dir|Char|/mnt/store/dna_nmp/processed/
Billing|ServiceNumFile|Service Number file|Char|*_kaikki_maksunsaajatiedot.csv
Billing|ServiceNumInDir|Service Number reading dir|Char|/mnt/store/dna_nmp/in/
Billing|ServiceNumLog|Service number reading log file|Char|/apps/var/log/read_servicenum_batch_#DATE_#TIME.log
Billing|ServiceNumTempFiles|Service number temp files list|Char|/apps/var/tmp/ServiceNumFile.tmp
Billing|TotalUsageCounter|Rule ID for total usage counter|Int|2
Billing|UnknownCustomer|Number Of Unknown customer|Int|999
CM.Interface|CallAlarmLimit|CallAlarmLimit for single loop|Int|5000
CM.Interface|CM.Ack.Poll.New|Interval for polling new responses|Int|5000
CM.Interface|CM.Ack.Queue.Sleep|Sleep time in seconds|Int|5000
CM.Interface|CM.Queue.ip||Char|mqueue
CM.Interface|CM.Queue.MsgLimit|Max. messages/stomp session|Int|200
CM.Interface|CM.Queue.Name||Char|rbs
CM.Interface|CM.Queue.port||Int|61613
CM.Interface|CM.Queue.SessionLimit|Listener session restart limit param in seconds|Int|300
CM.Interface|CM.Queue.timeout||Int|2
CM.Interface|CM.SMSQueue.IP|SMS msg queue ip|Char|mqueue
CM.Interface|CM.SMSQueue.Name|SMS queue name|Char|sms
CM.Interface|CM.SMSQueue.port|SMS msg queue port|Int|61613
CM.Interface|CM.SMSQueue.timeout|SMS Queue Timeout|Int|2
CM.Interface|CM.ToQueue.ip||Char|mqueue
CM.Interface|CM.ToQueue.Name||Char|rh
CM.Interface|CM.ToQueue.port||Int|61613
CM.Interface|CM.ToQueue.timeout||Int|2
CM.Interface|CM.webservice.url||Char|http://172.20.34.69:80/CMServiceProvider/CMRBSInterface?wsdl
CM.Interface|RbsToCm.ip|RBS to CM publishing i/f IP|Char|mqueue
CM.Interface|RbsToCm.Name|RBS to CM publishing queue|Char|cm
CM.Interface|RbsToCm.port|RBS to CM publishing i/f port|Int|61613
CM.Interface|RbsToCm.timeout|RBS to CM publishing timeout|Int|1000
CM.Interface|revolver.ip|MQ ip|Char|mqueue
CM.Interface|revolver.name|Revolver PDF Queue|Char|revolver
CM.Interface|revolver.port||Int|61613
CM.Interface|revolver.timeout||Int|100
CM.Interface|UTF8_to_Scandics|DO NOT UPDATE THIS !!!|Char|\u0142,\u2013,\u011d|l,-,g
Commission|CommCalcLogFile|Log file for commission calculation|Char|/apps/dna/var/tmp/commission_calculation_#DATE_#TIME.txt
Commission|CommCalcLogTrans|Transfer dir for commission log|Char|/mnt/store/print/log/commission
Commission|CommCheckSuspension|Service for suspension|Char|DebtSuspension
Commission|CommCompAddress|Company address for commission invoices|Char|PL 10
Commission|CommCompCity|Company city for commission invoice|Char|01044 DNA
Commission|CommCompEMail|Company email for commission invoice|Char|palkkiot@dna.fi
Commission|CommCompPhone|Company phone for commission invoice|Char|044 0440
Commission|RevenueCommLogFile|Revenue based commission log file|Char|/apps/var/tmp/REVENUE_COMMISSION_REPORT_#PERIOD_#DATE_#TIME.txt
Commission|RevenueCommLogTrans|Revenue based commission log trans dir|Char|/mnt/store/xfergw/Siirtokansio6/out/
Commission|RevenueValidBIGs|Valid BIGs for Revenue based commission|Char|BIG1,BIG3,BIG4,BIG5,BIG6,BIG8,BIG11,BIG16,BIG30,BIG31,BIG32
Contact|B2BContactEmail|B2B contact email|Char|yritysasiakaspalvelu@dna.fi
Contact|B2BContactPhone|B2B contact phone nbr|Char|044 144 099
Credit|CustCredLimitExternalGrp|Default Credit Limit ExtCust g|Char|CreditExtG
Credit|OwnUseCreditPaym|Payment type for own usage creditings|Int|11
CreditNote|CreditNoteActTime|Activation time for requests|Int|11
Cron|CronTmpDir|Temporary files for cronjobs|Char|
Cron|DefEmailPath|Default mdaily email path|Char|
CRONOUTGOING|highspendnew.p|DIRECTORY|Char|/mnt/store/print/report
CRONSPOOL|highspendnew.p|DIRECTORY|Char|/mnt/store/print/report
CustCare|DefCustB2B1|Default customer for B2B1|Int|310
CustCare|DefCustB2B2|Default customer for B2B2|Int|310
CustCare|DefCustB2B3|Default customer for B2B3|Int|310
CustCare|DefCustB2B4|Default customer for B2B4|Int|310
CustCare|DefCustINV1|Default customer|Int|300
CustCare|DefCustOWNB2B|Default customer for OWNB2B|Int|310
CustCare|DefCustSALES|Default customer for sales|Int|400
CustCare|DefCustUNKNOWN|Default customer|Int|304
CustNumbers|Mobile|Customer Number Series|Char|10001-999999
DebtCollect|AdvPaymIntrumLedgerNo|Intrum's ledger no for adv payment|Char|111111
DebtCollect|BarrSuspDaysLimit|Max no of days for barr/susp|Int|34
DebtCollect|ClaimCostAcc|Account for claiming costs|Int|3800
DebtCollect|ClaimRestrainOnHold|Days that restrain is on hold|Int|7
DebtCollect|DebtBarrData|Service for data barring|Char|DebtBarrData
DebtCollect|DebtBarrVoice|Service for voice barring|Char|DebtBarrVoice
DebtCollect|DebtCollectBatchMode|Mode for batch run List/Update|Char|Update
DebtCollect|DebtCollectLog|Log file name|Char|/mnt/store/debtcollect/log/debtcollect_#DATE_#TIME.txt
DebtCollect|DebtCollectLogTemp|Temporary logs from parallelized debtcollection|Char|/apps/var/tmp/temp_debtcollect_#DATE_#TIME_#INVGRP.txt
DebtCollect|DebtCollectTransDir|Transfer dir for log file|Char|/mnt/store/xfergw/Siirtokansio9/out
DebtCollect|DebtSuspensionService|Suspension service ID|Char|DebtSuspension
DebtCollect|DebtSuspOpenFeeModel|Fee model for opening subscr.|Char|AUTDEBTBARRTERM
DebtCollect|DebtTermMailArc|Archive dir for term. mails|Char|/mnt/store/debtcollect/termination
DebtCollect|DebtTermMailFile|File for mail text|Char|/apps/dna/var/tmp/debtterm_#LANGUAGE.txt
DebtCollect|DebtTermMailSender|Sender marked to term. mail|Char|noreply@dnapro.fi
DebtCollect|DebtTermMailText|Text ID for termination mail|Char|DebtTermination
DebtCollect|IntrumCustNbr|Intrum's customer nbr for us|Int|4278
DebtCollect|IntrumFileSeqNbr|Claim File's Sequence Number|Int|0
DebtCollect|IntrumHubNo|Intrum's Hub number|Char|200866
DebtCollect|IntrumLedgerNo|Intrum ledger nbr for normal invoices|Char|427801
DebtCollect|IntrumPPLedgerNo|Intrum ledger nbr for part payment invoices|Char|427802
DebtCollect|IntrumRemFee|Intrum reminder fee|Char|427802
DebtCollect|IntrumStatusArc|Archive for status file|Char|/mnt/store/rbs/intrum/in/processed
DebtCollect|IntrumStatusFile|Status file from Intrum|Char|/mnt/store/rbs/intrum/in/in/status*
DebtCollect|IntrumStatusLog|Log file from status reading|Char|/apps/dna/var/tmp/INTRUM_STATUS_#DATE_#TIME.txt
DebtCollect|IntrumStatusLogArc|Archive for log file|Char|/mnt/store/intrum/log
DebtCollect|MailSentBeforeTerm|Termination letter delivery days before actual term|Int|15
DebtCollect|PPDebtTermMailFile|File name for PP termination message|Char|/apps/dna/var/tmp/ppdebtterm_#LANGUAGE.txt
DebtCollect|PPDebtTermMailText|Termination mail text for part payment|Char|PPTermination
DebtCollect|PPDueDaysBeforeMail|Days passed from due day before termination mail is sent|Int|34
DebtCollect|PPMailSentBeforeTerm|Days from termination mail before termination|Int|15
DebtCollect|PPMinDueDays|Min PP invoice due days|Int|17
DebtCollect|PPUnpaidMinPortion|Min portion % of unpaid debt|Int|17
DebtCollect|ServiceDebtLimit|Min limit for service debt|Int|17
DebtCollect|ServiceDebtType|Service debt types|Char|SER
DebtCollect|SMSRem1LateDays|Days from due date|Int|7
DebtCollect|SMSRem1MinDue|Min amount for 1. reminder|Int|7
DebtCollect|SMSRem2LateDays|Days from due date|Int|22
DebtCollect|SMSRem2MinDue|Min amount for 2. reminder|Int|22
DebtCollect|SMSRem3LateDays|Days from due date|Int|31
DebtCollect|SMSRem3MinDue|Min. amount for 3. reminder|Int|31
DebtCollect|SuspendedBeforeMail|Suspended days before mail|Int|20
DebtCollect|SuspendedBeforeTerm|Suspended days before termin.|Int|30
DebtCollect|TeleDebtLimit|Min limit for tele debt|Int|30
DebtCollect|TeleDebtType|Debt types for tele debt|Char|TEL
DEBUG|class_cdrhandler.cls|Use LOG-MANAGER in InvRun|Char|#4GLMessages,4GLTrace:4,4GLTrans,DB.Connects:4,QryInfo:4
DEBUG|tcpgwy.p|Are logfiles active?|Char|0
Device|Available|Device Status|Int|1
Device|Not Available|Device Status|Int|0
DeviceTerm|cancel_returned|Device order cancellation|Char|17
DeviceTerm|debt_retain|Debt termination|Char|4
DeviceTerm|expuser_returned|Experiment period cancel, deact. device|Char|25
DeviceTerm|om_retain|Device contract termination by OM|Char|28
DeviceTerm|operator_retain|Device contract term by CSP, apply charges|Char|21
DeviceTerm|operator_returned|Device contract term by CSP, deact charges|Char|20
DeviceTerm|paid_retain|Paid in advance|Char|23
DeviceTerm|salesperson_returned|SalesPerson cancelled device contract, deact. device|Char|26
DeviceTerm|user_retain|Accelerated termination of device contract|Char|18
DeviceTerm|user_returned|Device return based on agreement with CSP|Char|19
DirDebit|DDArchive|Archive directory for DD files|Char|
DirDebit|DDebitAuthFile|Direct debit authorizat. file|Char|
DirDebit|DDebitBankAccount|Direct debits to bank account|Char|
DirDebit|DDebitBankGroupCode|Direct debit bank group code|Char|
DirDebit|DDebitBatchFile|File for batch runs|Char|
DirDebit|DDebitErrorFile|Error log file|Char|
DirDebit|DDebitFileName|Direct debit file name|Char|
DirDebit|DDebitResponse|Response file name|Char|
DirDebit|DDebitServiceCode|Direct debit service code|Char|
DirDebit|DDInErrorFile|File for error log|Char|
DirDebit|DDPaymSubj|Payment Subject for DD|Int|0
DirDebit|DDTransDir|Transfer directory for files|Char|
Discount|PaperInvCamp|Special discount for printing|Char|CAMPRINTINVPERC
Discount|Payercampaigns|Disc plans for migration|Char|CAMPRINTINVPERC
DNATest|LogDirReadWebServiceXMLs||Char|CAMPRINTINVPERC
Dump|DeviceDebtFile|File name for device debts|Char|/apps/dna/var/tmp/device_debt_#DATE.txt
Dump|DeviceDebtTransDir|Transfer dir for device debts|Char|/mnt/store/device/out
Dump|InvEventMonthFileName|File for event month dump|Char|/apps/dna/var/tmp/dump_invoices_#DATE.csv
Dump|InvEventMonthTransDir|Transfer dir for eventm. dump|Char|/mnt/store/xfergw/Siirtokansio2/gledger
DUMPOUTGOING|callscannerrep.p|DIRECTORY|Char|
DUMPOUTGOING|killerrcalls.p|DIRECTORY|Char|
DUMPOUTGOING|memodump.p|DIRECTORY|Char|
DUMPOUTGOING|stclog.p|DIRECTORY|Char|
DUMPSPOOL|callscannerrep.p|DIRECTORY|Char|
DUMPSPOOL|memodump.p|DIRECTORY|Char|
DUMPSPOOL|stclog.p|DIRECTORY|Char|
EBill|eGiftPayment|eGiftPayment FAT group|Char|EGIFT
EBill|EPaymValid|Valid days for ePayment|Int|7
EInvoice|EInvoiceAuthArcDir|Archive dir for authorizations|Char|/mnt/store/rbs/invoices/ri_processed
EInvoice|EInvoiceAuthFile|Authorization file name|Char|/mnt/store/rbs/invoices/ri_messages/DNA*.xml
EInvoice|EInvoiceAuthLogFile|Authorization error log file|Char|/apps/dna/var/tmp/auth_log_#DATE_#SEQ.txt
EInvoice|EInvoiceAuthLogTrans|Transfer dir for authorization error log|Char|/mnt/store/xfergw/Siirtokansio3/out
EInvoice|EInvoiceReportFileName|EInvoice activations report file|Char|/apps/var/tmp/auth_handling_#DATE.txt
EInvoice|EInvoiceReportTransDir|EInvoice activations report delivery folder|Char|/mnt/store/xfergw/Siirtokansio9/out/
EInvoice|EInvoiceSentToMQLog|EInvoice update sent to MQ log|Char|/apps/var/log/einvoice_update_to_mq.log
eMail|ITMailErrDir|Directory for error files|Char|/apps/tms/mail/
FileSeq|eInvoiceLog|Daily sequence for eInvoice log file|Int|1810
FileSequence|IntrumUpdateSeq|Intrum update file sequence|Date|21/09/11
FileSequence|IntrumXMLSeq|Intrum XML File Sequence|Date|20/09/11
FOM.Interface|RbsToFOM.IP|RBS to FOM publishing IP|Char|mqueue
FOM.Interface|RbsToFOM.Name|RBS to FOM publishing queue|Char|test.q.FOMSouthboundRBSDNAB2B.RBS.adapter.Request
FOM.Interface|RbsToFOM.Port|RBS to FOM publishing port|Int|61613
FOM.Interface|RbsToFOM.Timeout|RBS to FOM publishing timeout|Int|1000
Fonecta|FonectaDir|Transfer directory|Char|/mnt/store/rbs/directory/out
Fonecta|FonectaFile|Transfer file name (changes)|Char|/apps/dna/var/tmp/DNA_FONECTA_#NBR.TXT
Fonecta|FonectaFullFile|Transfer file name (all data)|Char|/apps/dna/var/tmp/DNA_FONECTA.TXT
Fonecta|FonectaReportBase|Archive for sent files|Char|/mnt/store/rbs/directory/reportbase
Fonecta|FonectaSent|Date when last sent|Date|15/02/17
Fonecta|FonectaSeq|File number sequence|Int|7
Fonecta|SelectionTS|Report should include mobsubs created on previous day before mentioned time|Char|05:00:00
FuncRun|FRCallItemReceiver|FuncRun call item target cust|Char|User
FuncRun|FRDaemonInterval|Interval (sec) for funcrun dae|Int|60
FuncRun|FRTestRunDir|Dir for test run files|Char|/mnt/store/print/testrun
GL|AccountingExtSource|External source id|Char|GL
GL|BilledRevenueFileName|File name for billed revenue|Char|/apps/dna/var/tmp/dnapro_billed_revenue_#DATE.dat
GL|BilledRevenueTransDir|Transfer dir for billed revenu|Char|/mnt/store/xfergw/Siirtokansio2/gledger
GL|UnbilledRevenueFileName|File name for unbilled revenue|Char|/apps/dna/var/tmp/dnapro_unbilled_revenue_#DATE.dat
GL|UnbilledRevenueTransDir|Transfer dir for unbilled reve|Char|/mnt/store/xfergw/Siirtokansio2/gledger
GL|VirtUnbRevExcelTransDir|Trans dir for new unbilled revenue Excel ver|Char|/mnt/store/test/ubr
GL|VirtUnbRevFileName|Filename for new unbilled revenue|Char|/apps/dna/var/tmp/dnapro_unbilled_revenue_virt_#DATE.dat
GL|VirtUnbRevTransDir|Trans dir for new unbilled revenue|Char|/mnt/store/xfergw/Siirtokansio2/gledger
HighSpender|HighSpenderDirectory|Default highspender directory|Char|/mnt/store/print/report
HPD.Interface|HPD.Dump.LogFile|RBS to Cassandra dump log file|Char|/apps/var/log/Hpd.DumpToMQ.log
HPD.Interface|HPD.Queue.IP|RBS to Cassandra publishing i/f IP|Char|hpd-mqueue
HPD.Interface|HPD.Queue.Name|RBS to Cassandra publishing queue|Char|rbs-bssapi
HPD.Interface|HPD.Queue.Port|RBS to Cassandra publishing i/f port|Int|61613
HPD.Interface|HPD.Queue.SessionLimit|HPD publisher session limit|Int|1200
HPD.Interface|HPD.Queue.TimeOut|RBS to Cassandra publishing timeout|Int|2
HPD.Interface|HPD.Queue.TransSize|Transaction size of each query|Int|10000
IIR|CounterCheckID|ID FuncRun counter check|Int|11
IIR|IRCounterProcDir|IRCounter runtime file dir|Char|/mnt/store/print/log/countercheck/processing/
IIR|IRCounterTransDir|Unbilled counters transdir|Char|/mnt/store/print/log/countercheck/
IIR|OldUnbilledEventLimit|How many months backward|Int|13
IIR|RejectedIRCounters|File for rejected IR invoices|Char|/mnt/store/print/report/rejected_iir_invoices_#DATE.log
IIR|RerateALLDays|Days from month end to rerate|Char|3
IIR|ReRateCheckFrom|Days from month end|Int|3
Interest|CollStatesNoInterest|Interest is not calculated when invoice is in these statuses|Char|I
Invoice|BillingInfoFile|Output for billinginfo for CM|Char|/mnt/store/billingdata/spool/billinginfo_#TODAY_#NOW.csv
Invoice|ClaimCharge|Claiming charge|Char|/mnt/store/billingdata/spool/billinginfo_#TODAY_#NOW.csv
Invoice|DefCurrency|DefaultCurrency|Char|EUR
Invoice|DefVATCode|Default VAT code|Int|1
Invoice|IntrumUpdateFile|Intrum update file name|Char|/apps/dna/var/tmp/updates.#DATE#TIME
Invoice|IntrumXMLDir|Intrum XML Directory|Char|/mnt/store/rbs/intrum/out/out
Invoice|IntrumXMLFileName|Intrum XML File Name|Char|/apps/dna/var/tmp/xinvoices.#DATE#TIME
Invoice|IntrumXMLLog|XML LOG FILE|Char|/apps/dna/var/tmp/INVXML_#DATE.log
Invoice|IntrumXMLLogTrans|XML LOG TRANSFER DIR|Char|/mnt/store/intrum/log
Invoice|IntrumXMLMaxQty|Max quantity of invoices per file|Int|10000
Invoice|InvCustExtSource|Source for customer ext.ID|Char|CM
Invoice|InvRangeRepExclGroups1|Comma separated list of excluded invgroups|Char|SALES
Invoice|InvRangeRepExclGroups2|Comma separated list of excluded invgroups|Char|SALES
Invoice|InvRangeReportDetailFile|path and filename for detail file|Char|/apps/var/tmp/InvRange_#ID_#DATE_#TIME_Detail_#TYPE.csv
